product_id,product_name,created_at,quantity_on_hand,quantity_reserved,quantity_available,minimum_stock_level,reorder_point,optimal_stock_level,average_daily_usage,unit_cost,total_value,last_order_date,last_stock_count_date,expiration_date,year,month,day,day_of_week,week_of_year,days_since_last_order,days_since_last_count,days_to_expiration,target_quantity_on_hand
pdct0001,Marca RefrescoPlus 1,2023-03-26 16:27:41,108.0,18.0,90.0,22.0,47.0,134.0,7.48,47.38,5117.04,2022-12-04,2023-01-17,2023-04-20,2023.0,3.0,26.0,6.0,12.0,112.0,68.0,24.0,108.0
pdct0001,Marca RefrescoPlus 1,2023-10-05 13:22:56,82.0,19.0,63.0,12.0,18.0,76.0,4.23,50.91,4174.62,2023-06-16,2023-06-23,2023-10-25,2023.0,10.0,5.0,3.0,40.0,111.0,104.0,19.0,82.0
pdct0001,Marca RefrescoPlus 1,2023-11-15 11:07:01,76.0,9.0,67.0,5.0,10.0,54.0,2.79,14.1,1071.6,2023-10-11,2023-10-14,2023-12-12,2023.0,11.0,15.0,2.0,46.0,35.0,32.0,26.0,76.0
pdct0001,Marca RefrescoPlus 1,2024-05-16 14:03:53,106.0,27.0,79.0,18.0,49.0,67.0,6.08,22.31,2364.86,2024-04-22,2024-05-05,2024-09-23,2024.0,5.0,16.0,3.0,20.0,24.0,11.0,129.0,106.0
pdct0001,Marca RefrescoPlus 1,2024-10-10 20:13:15,105.0,8.0,97.0,15.0,21.0,87.0,5.54,51.41,5398.05,2024-09-11,2024-09-27,2024-11-04,2024.0,10.0,10.0,3.0,41.0,29.0,13.0,24.0,105.0
pdct0001,,2025-11-20 00:00:00,331.29,8.0,97.0,,21.0,87.0,5.54,51.41,5398.05,,,,,10.0,,3.0,,29.0,13.0,24.0,
pdct0002,Producto HomeLife 2,2023-04-29 13:28:01,109.0,13.0,96.0,12.0,35.0,79.0,4.07,44.23,4821.07,2023-01-10,2023-01-26,2099-12-31,2023.0,4.0,29.0,5.0,17.0,109.0,93.0,28004.0,109.0
pdct0002,Producto HomeLife 2,2023-05-02 18:17:36,104.0,11.0,93.0,9.0,54.0,83.0,5.54,39.47,4104.88,2023-03-08,2023-04-16,2099-12-31,2023.0,5.0,2.0,1.0,18.0,55.0,16.0,28001.0,104.0
pdct0002,Producto HomeLife 2,2023-06-19 07:11:04,103.0,27.0,76.0,15.0,31.0,63.0,5.48,66.37,6836.11,2023-05-30,2023-06-19,2099-12-31,2023.0,6.0,19.0,0.0,25.0,20.0,0.0,27953.0,103.0
pdct0002,Producto HomeLife 2,2023-07-04 10:59:01,111.0,24.0,87.0,7.0,19.0,42.0,3.0,10.4,1154.4,2023-05-17,2023-05-20,2099-12-31,2023.0,7.0,4.0,1.0,27.0,48.0,45.0,27938.0,111.0
